level,topic,chapter_id,file,title,suggested_3,reason
Level10_GESP 十级 (NOI 竞赛提高),树上高级算法,10-5-4,04_KD 树（多维最近邻）.md,KD 树（多维最近邻）,"Level10:55, Level10:56, Level10:57",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),DP 极限优化,10-6-1,01_四边形不等式优化（决策单调性）.md,四边形不等式优化（决策单调性）,"Level10:58, Level10:59, Level10:60",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),DP 极限优化,10-6-2,02_WQS 二分（λ 优化 DP）.md,WQS 二分（λ 优化 DP）,"Level10:61, Level10:62, Level10:63",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),DP 极限优化,10-6-3,03_综合例题.md,综合例题,"Level10:64, Level10:65, Level10:66",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),多项式算法,10-7-1,01_FFT 原理与实现.md,FFT 原理与实现,"Level10:67, Level10:68, Level10:69",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),多项式算法,10-7-2,02_NTT（模意义下的 FFT）.md,NTT（模意义下的 FFT）,"Level10:70, Level10:71, Level10:72",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),多项式算法,10-7-3,03_多项式乘法与卷积应用.md,多项式乘法与卷积应用,"Level10:73, Level10:74, Level10:75",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),多项式算法,10-7-4,04_多项式求逆与 exp（选读）.md,多项式求逆与 exp（选读）,"Level10:76, Level10:77, Level10:78",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数论,10-8-1,01_积性函数与狄利克雷卷积.md,积性函数与狄利克雷卷积,"Level10:79, Level10:80, Level10:81",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数论,10-8-2,02_莫比乌斯函数与莫比乌斯反演.md,莫比乌斯函数与莫比乌斯反演,"Level10:82, Level10:83, Level10:84",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数论,10-8-3,03_原根与离散对数.md,原根与离散对数,"Level10:85, Level10:86, Level10:87",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级数论,10-8-4,04_高级数论综合例题.md,高级数论综合例题,"Level10:88, Level10:89, Level10:90",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级组合数学,10-9-1,01_第一_第二类斯特林数.md,第一/第二类斯特林数,"Level10:91, Level10:92, Level10:93",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级组合数学,10-9-2,02_普通母函数（OGF）.md,普通母函数（OGF）,"Level10:94, Level10:95, Level10:96",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级组合数学,10-9-3,03_指数母函数（EGF）.md,指数母函数（EGF）,"Level10:97, Level10:98, Level10:99",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),高级组合数学,10-9-4,04_Burnside 引理与 Polya 定理.md,Burnside 引理与 Polya 定理,"Level10:100, Level10:101, Level10:102",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),计算几何高级,10-10-1,01_半平面交求可行区域.md,半平面交求可行区域,"Level10:103, Level10:104, Level10:105",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),计算几何高级,10-10-2,02_旋转卡壳（最远点对）.md,旋转卡壳（最远点对）,"Level10:106, Level10:107, Level10:108",专题内无相邻题号，从全局末尾分配
Level10_GESP 十级 (NOI 竞赛提高),计算几何高级,10-10-3,03_闵可夫斯基和.md,闵可夫斯基和,"Level10:109, Level10:110, Level10:111",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),第一次交互 (IO基础),1-1-2,02_代码的注释 (__).md,代码的注释 (//),"Level1:33, Level1:43, Level1:44",专题题号范围 Level1:1~Level1:9，在末尾追加
Level1_GESP 一级 (语法与顺序逻辑),计算机算术 (运算),1-4-4,"04_复合赋值 (+=, -=).md","复合赋值 (+=, -=)","Level1:249, Level1:250, Level1:252",专题题号范围 Level1:15~Level1:248，在末尾追加
Level1_GESP 一级 (语法与顺序逻辑),更多数据类型,1-5-5,05_scanf 和 printf.md,scanf 和 printf,"Level1:426, Level1:427, Level1:428",专题题号范围 Level1:22~Level1:425，在末尾追加
Level1_GESP 一级 (语法与顺序逻辑),更多数据类型,1-5-6,06_scanf 和 printf 真题练习.md,scanf 和 printf 真题练习,"Level1:426, Level1:427, Level1:428",专题题号范围 Level1:22~Level1:425，在末尾追加
Level1_GESP 一级 (语法与顺序逻辑),简单的逻辑 (分支与循环),1-6-4,04_函数初探.md,函数初探,"Level1:421, Level1:426, Level1:427",专题题号范围 Level1:80~Level1:419，在末尾追加
Level1_GESP 一级 (语法与顺序逻辑),条件结构专题,1-7-1,01_if _ else 单分支与双分支.md,if / else 单分支与双分支,"Level1:426, Level1:427, Level1:428",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),条件结构专题,1-7-2,02_多分支 if-else if 与 switch.md,多分支 if-else if 与 switch,"Level1:429, Level1:430, Level1:431",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),条件结构专题,1-7-3,03_条件结构综合例题.md,条件结构综合例题,"Level1:432, Level1:433, Level1:434",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),循环结构专题,1-8-1,01_for 循环基础.md,for 循环基础,"Level1:435, Level1:436, Level1:437",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),循环结构专题,1-8-2,02_while 与 do-while 循环.md,while 与 do-while 循环,"Level1:438, Level1:439, Level1:440",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),循环结构专题,1-8-3,03_break _ continue 与循环控制.md,break / continue 与循环控制,"Level1:441, Level1:442, Level1:443",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),数学基础,1-9-1,01_整除与取模.md,整除与取模,"Level1:444, Level1:445, Level1:446",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),数学基础,1-9-2,02_四舍五入与浮点数精度.md,四舍五入与浮点数精度,"Level1:447, Level1:448, Level1:449",专题内无相邻题号，从全局末尾分配
Level1_GESP 一级 (语法与顺序逻辑),数学基础,1-9-3,03_绝对值与数学基础综合例题.md,绝对值与数学基础综合例题,"Level1:450, Level1:451, Level1:452",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),多重选择,2-2-2,02_switch-case 语句.md,switch-case 语句,"Level2:419, Level2:420, Level2:422",专题题号范围 Level2:97~Level2:418，在末尾追加
Level2_GESP 二级 (逻辑进阶),循环进阶,2-3-2,02_do-while 循环.md,do-while 循环,"Level2:310, Level2:311, Level2:312",专题题号范围 Level2:82~Level2:309，在末尾追加
Level2_GESP 二级 (逻辑进阶),数组初探,2-6-1,01_一维数组定义与访问.md,一维数组定义与访问,"Level2:371, Level2:372, Level2:373",专题题号范围 Level2:73~Level2:370，在末尾追加
Level2_GESP 二级 (逻辑进阶),数组初探,2-6-2,02_数组遍历与求和.md,数组遍历与求和,"Level2:371, Level2:372, Level2:373",专题题号范围 Level2:73~Level2:370，在末尾追加
Level2_GESP 二级 (逻辑进阶),ASCII 编码与字符处理,2-7-1,01_ASCII 编码表与字符读取.md,ASCII 编码表与字符读取,"Level2:427, Level2:428, Level2:429",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),ASCII 编码与字符处理,2-7-2,02_字符与整数的相互转换.md,字符与整数的相互转换,"Level2:430, Level2:431, Level2:432",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),ASCII 编码与字符处理,2-7-3,03_字符判断与大小写转换.md,字符判断与大小写转换,"Level2:433, Level2:434, Level2:435",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),数学函数,2-8-1,01_max _ min 与比较函数.md,max / min 与比较函数,"Level2:436, Level2:437, Level2:438",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),数学函数,2-8-2,02_sqrt _ pow _ abs 的用法.md,sqrt / pow / abs 的用法,"Level2:439, Level2:440, Level2:441",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),数学函数,2-8-3,03_floor _ ceil _ round 取整函数.md,floor / ceil / round 取整函数,"Level2:442, Level2:443, Level2:444",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),暴力枚举,2-9-1,01_单层枚举基础.md,单层枚举基础,"Level2:445, Level2:446, Level2:447",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),暴力枚举,2-9-2,02_双重枚举与三重枚举.md,双重枚举与三重枚举,"Level2:448, Level2:449, Level2:450",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),暴力枚举,2-9-3,03_枚举综合例题.md,枚举综合例题,"Level2:451, Level2:452, Level2:453",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),模拟,2-10-1,01_模拟思想与步骤拆解.md,模拟思想与步骤拆解,"Level2:454, Level2:455, Level2:456",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),模拟,2-10-2,02_计数模拟类例题.md,计数模拟类例题,"Level2:457, Level2:458, Level2:459",专题内无相邻题号，从全局末尾分配
Level2_GESP 二级 (逻辑进阶),模拟,2-10-3,03_过程模拟类例题.md,过程模拟类例题,"Level2:460, Level2:461, Level2:462",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),进制与编码,gesp-3-3-3,03_原码、反码、补码.md,原码、反码、补码,"Level3:321, Level3:322, Level3:323",专题题号范围 Level3:32~Level3:320，在末尾追加
Level3_GESP 三级 (算法萌芽),位运算,gesp-3-4-1,01_按位与(&)、或(_)、异或(^).md,按位与(&)、或(|)、异或(^),"Level3:373, Level3:374, Level3:375",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),位运算,gesp-3-4-2,02_左移(__) 与 右移(__).md,左移(<<) 与 右移(>>),"Level3:376, Level3:377, Level3:378",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),原码反码补码,3-6-1,01_原码与无符号整数表示.md,原码与无符号整数表示,"Level3:379, Level3:380, Level3:381",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),原码反码补码,3-6-2,02_反码与补码.md,反码与补码,"Level3:382, Level3:383, Level3:384",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),原码反码补码,3-6-3,03_溢出与数据范围.md,溢出与数据范围,"Level3:385, Level3:386, Level3:387",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),枚举法专题,3-7-1,01_多维枚举与数组结合.md,多维枚举与数组结合,"Level3:388, Level3:389, Level3:390",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),枚举法专题,3-7-2,02_子集枚举（位运算辅助）.md,子集枚举（位运算辅助）,"Level3:391, Level3:392, Level3:393",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),枚举法专题,3-7-3,03_枚举剪枝与效率分析.md,枚举剪枝与效率分析,"Level3:394, Level3:395, Level3:396",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),模拟专题,3-8-1,01_数组模拟栈_队列.md,数组模拟栈/队列,"Level3:397, Level3:398, Level3:399",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),模拟专题,3-8-2,02_矩阵_方格模拟.md,矩阵/方格模拟,"Level3:400, Level3:401, Level3:402",专题内无相邻题号，从全局末尾分配
Level3_GESP 三级 (算法萌芽),模拟专题,3-8-3,03_字符串模拟类例题.md,字符串模拟类例题,"Level3:403, Level3:404, Level3:405",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),排序算法,4-3-1,01_冒泡排序.md,冒泡排序,"Level4:405, Level4:406, Level4:407",专题题号范围 Level4:120~Level4:404，在末尾追加
Level4_GESP 四级 (函数与排序),排序算法,4-3-2,02_选择排序.md,选择排序,"Level4:405, Level4:406, Level4:407",专题题号范围 Level4:120~Level4:404，在末尾追加
Level4_GESP 四级 (函数与排序),排序算法,4-3-3,03_插入排序.md,插入排序,"Level4:405, Level4:406, Level4:407",专题题号范围 Level4:120~Level4:404，在末尾追加
Level4_GESP 四级 (函数与排序),排序算法,4-3-5,05_结构体排序.md,结构体排序,"Level4:405, Level4:406, Level4:407",专题题号范围 Level4:120~Level4:404，在末尾追加
Level4_GESP 四级 (函数与排序),二维数组,gesp-4-4-2,02_杨辉三角 (二维数组版).md,杨辉三角 (二维数组版),"Level4:82, Level4:83, Level4:84",专题题号范围 Level4:74~Level4:81，在末尾追加
Level4_GESP 四级 (函数与排序),递推算法,4-5-1,01_斐波那契数列.md,斐波那契数列,"Level4:529, Level4:530, Level4:531",专题题号范围 Level4:512~Level4:528，在末尾追加
Level4_GESP 四级 (函数与排序),指针与引用,4-6-1,01_指针的概念与基本操作.md,指针的概念与基本操作,"Level4:529, Level4:530, Level4:531",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),指针与引用,4-6-2,02_值传递与引用传递（& 参数）.md,值传递与引用传递（& 参数）,"Level4:532, Level4:533, Level4:534",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),指针与引用,4-6-3,03_指针与数组的关系.md,指针与数组的关系,"Level4:535, Level4:536, Level4:537",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),算法复杂度,4-7-1,01_时间复杂度概念与 O 记号.md,时间复杂度概念与 O 记号,"Level4:538, Level4:539, Level4:540",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),算法复杂度,4-7-2,02_常见复杂度量级（O(1)_O(n)_O(n²)_O(log n)）.md,常见复杂度量级（O(1)/O(n)/O(n²)/O(log n)）,"Level4:541, Level4:542, Level4:543",专题内无相邻题号，从全局末尾分配
Level4_GESP 四级 (函数与排序),算法复杂度,4-7-3,03_复杂度估算与超时判断.md,复杂度估算与超时判断,"Level4:544, Level4:545, Level4:546",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),算法效率,5-1-1,01_时间复杂度 (Big O).md,时间复杂度 (Big O),"Level5:536, Level5:537, Level5:538",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),算法效率,5-1-2,02_空间复杂度.md,空间复杂度,"Level5:539, Level5:540, Level5:541",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),算法效率,5-1-3,03_STL.md,STL,"Level5:542, Level5:543, Level5:544",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),数论基础,5-2-2,02_埃氏筛法与线性筛.md,埃氏筛法与线性筛,"Level5:320, Level5:321, Level5:322",专题题号范围 Level5:50~Level5:319，在末尾追加
Level5_GESP 五级 (数论与效率),数论基础,5-2-3,03_GCD 与 LCM.md,GCD 与 LCM,"Level5:320, Level5:321, Level5:322",专题题号范围 Level5:50~Level5:319，在末尾追加
Level5_GESP 五级 (数论与效率),数论基础,5-2-6,06_排列组合.md,排列组合,"Level5:320, Level5:321, Level5:322",专题题号范围 Level5:50~Level5:319，在末尾追加
Level5_GESP 五级 (数论与效率),数论基础,5-2-7,07_模和同余.md,模和同余,"Level5:320, Level5:321, Level5:322",专题题号范围 Level5:50~Level5:319，在末尾追加
Level5_GESP 五级 (数论与效率),前缀和差分,5-5-3,03_区间更新与查询综合应用.md,区间更新与查询综合应用,"Level5:536, Level5:537, Level5:538",专题题号范围 Level5:3~Level5:530，在末尾追加
Level5_GESP 五级 (数论与效率),递归算法,5-7-1,01_递归算法基本概念.md,递归算法基本概念,"Level5:527, Level5:528, Level5:536",专题题号范围 Level5:526~Level5:526，在末尾追加
Level5_GESP 五级 (数论与效率),递归算法,5-7-2,02_经典递归示例：阶乘与斐波那契.md,经典递归示例：阶乘与斐波那契,"Level5:527, Level5:528, Level5:536",专题题号范围 Level5:526~Level5:526，在末尾追加
Level5_GESP 五级 (数论与效率),递归算法,5-7-4,04_递归应用实例：汉诺塔与回溯.md,递归应用实例：汉诺塔与回溯,"Level5:527, Level5:528, Level5:536",专题题号范围 Level5:526~Level5:526，在末尾追加
Level5_GESP 五级 (数论与效率),STL 容器,5-8-1,01_vector 与 pair 基础用法.md,vector 与 pair 基础用法,"Level5:545, Level5:546, Level5:547",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),STL 容器,5-8-2,02_set _ map 的遍历与查找.md,set / map 的遍历与查找,"Level5:548, Level5:549, Level5:550",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),STL 容器,5-8-3,03_priority_queue 优先队列.md,priority_queue 优先队列,"Level5:551, Level5:552, Level5:553",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),链表,5-9-1,01_单链表基础（数组模拟）.md,单链表基础（数组模拟）,"Level5:554, Level5:555, Level5:556",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),链表,5-9-2,02_双链表与循环链表.md,双链表与循环链表,"Level5:557, Level5:558, Level5:559",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),链表,5-9-3,03_链表综合例题.md,链表综合例题,"Level5:560, Level5:561, Level5:562",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),双指针,5-10-1,01_相向双指针.md,相向双指针,"Level5:563, Level5:564, Level5:565",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),双指针,5-10-2,02_同向双指针（滑动窗口）.md,同向双指针（滑动窗口）,"Level5:566, Level5:567, Level5:568",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),双指针,5-10-3,03_双指针综合例题.md,双指针综合例题,"Level5:569, Level5:570, Level5:571",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),三分法,5-11-1,01_整数三分.md,整数三分,"Level5:572, Level5:573, Level5:574",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),三分法,5-11-2,02_实数三分与精度控制.md,实数三分与精度控制,"Level5:575, Level5:576, Level5:577",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),分治算法,5-12-1,01_分治思想与归并排序.md,分治思想与归并排序,"Level5:578, Level5:579, Level5:580",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),分治算法,5-12-2,02_逆序对统计.md,逆序对统计,"Level5:581, Level5:582, Level5:583",专题内无相邻题号，从全局末尾分配
Level5_GESP 五级 (数论与效率),分治算法,5-12-3,03_经典分治例题.md,经典分治例题,"Level5:584, Level5:585, Level5:586",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),数据结构进阶,6-1-1,01_栈 (Stack) 与 STL.md,栈 (Stack) 与 STL,"Level6:1, Level6:2, Level6:3",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),数据结构进阶,6-1-2,02_队列 (Queue) 与 STL.md,队列 (Queue) 与 STL,"Level6:4, Level6:5, Level6:6",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),数据结构进阶,6-1-3,03_优先队列(priority_queue) 与 STL.md,优先队列(priority_queue) 与 STL,"Level6:7, Level6:8, Level6:9",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),树结构,gesp-6-2-1,01_树与二叉树概念.md,树与二叉树概念,"Level6:10, Level6:11, Level6:12",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),树结构,gesp-6-2-2,02_二叉树遍历 (前中后).md,二叉树遍历 (前中后),"Level6:13, Level6:14, Level6:15",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),树结构,gesp-6-2-3,03_哈夫曼树.md,哈夫曼树,"Level6:16, Level6:17, Level6:18",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),搜索算法,gesp-6-3-1,01_深度优先搜索 (DFS).md,深度优先搜索 (DFS),"Level6:19, Level6:20, Level6:21",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),搜索算法,gesp-6-3-2,02_广度优先搜索 (BFS).md,广度优先搜索 (BFS),"Level6:22, Level6:23, Level6:24",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),动态规划入门,gesp-6-4-1,01_记忆化搜索.md,记忆化搜索,"Level6:25, Level6:26, Level6:27",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),动态规划入门,gesp-6-4-2,02_简单一维 DP.md,简单一维 DP,"Level6:28, Level6:29, Level6:30",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),栈,6-5-1,01_栈的基本用法.md,栈的基本用法,"Level6:31, Level6:32, Level6:33",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),栈,6-5-2,02_括号匹配与合法性判断.md,括号匹配与合法性判断,"Level6:34, Level6:35, Level6:36",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),栈,6-5-3,03_栈的应用例题.md,栈的应用例题,"Level6:37, Level6:38, Level6:39",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),队列,6-6-1,01_队列基本用法.md,队列基本用法,"Level6:40, Level6:41, Level6:42",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),队列,6-6-2,02_双端队列 deque.md,双端队列 deque,"Level6:43, Level6:44, Level6:45",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),队列,6-6-3,03_队列的应用例题.md,队列的应用例题,"Level6:46, Level6:47, Level6:48",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),哈夫曼树,6-7-1,01_哈夫曼树的构造.md,哈夫曼树的构造,"Level6:49, Level6:50, Level6:51",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),哈夫曼树,6-7-2,02_哈夫曼编码与解码.md,哈夫曼编码与解码,"Level6:52, Level6:53, Level6:54",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),哈夫曼树,6-7-3,03_带权路径长度练习.md,带权路径长度练习,"Level6:55, Level6:56, Level6:57",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),DFS 深度优先搜索,6-8-1,01_DFS 基本框架.md,DFS 基本框架,"Level6:58, Level6:59, Level6:60",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),DFS 深度优先搜索,6-8-2,02_连通块与涂色问题.md,连通块与涂色问题,"Level6:61, Level6:62, Level6:63",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),DFS 深度优先搜索,6-8-3,03_路径枚举与剪枝.md,路径枚举与剪枝,"Level6:64, Level6:65, Level6:66",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),BFS 广度优先搜索,6-9-1,01_BFS 基本框架.md,BFS 基本框架,"Level6:67, Level6:68, Level6:69",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),BFS 广度优先搜索,6-9-2,02_迷宫最短路.md,迷宫最短路,"Level6:70, Level6:71, Level6:72",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),BFS 广度优先搜索,6-9-3,03_多源 BFS 与 0-1 BFS.md,多源 BFS 与 0-1 BFS,"Level6:73, Level6:74, Level6:75",专题内无相邻题号，从全局末尾分配
Level6_GESP 六级 (数据结构),线性 DP,6-10-1,01_线性 DP 基础与状态设计.md,线性 DP 基础与状态设计,"Level6:76, Level6:77, Level6:78",专题内无相邻题号，从全局末尾分配
